79 407
0	38	1	4
0	7	1	1
0	6	1	1
0	5	1	1
0	4	1	1
0	3	1	1
0	2	1	1
0	1	1	1
1	67	1	5
1	40	1	4
1	27	1	3
1	7	1	1
1	6	1	1
1	5	1	1
1	4	1	1
1	3	1	1
1	2	1	1
2	40	1	4
2	7	1	1
2	6	1	1
2	5	1	1
2	4	1	1
2	3	1	1
3	43	1	4
3	40	1	4
3	7	1	1
3	6	1	1
3	5	1	1
3	4	1	1
4	16	1	2
4	7	1	1
4	6	1	1
4	5	1	1
5	7	1	1
5	6	1	1
6	7	1	1
7	55	1	5
7	42	1	4
8	17	2	2
8	16	2	2
8	15	2	2
8	13	2	2
8	12	2	2
8	11	2	2
8	10	2	2
8	9	2	2
9	19	2	3
9	18	2	3
9	16	2	2
9	15	2	2
9	14	2	2
9	12	2	2
9	11	2	2
9	10	2	2
10	17	2	2
10	16	2	2
10	15	2	2
10	14	2	2
10	13	2	2
10	12	2	2
10	11	2	2
11	25	2	3
11	17	2	2
11	14	2	2
11	13	2	2
11	12	2	2
12	76	2	5
12	53	2	5
12	23	2	3
12	17	2	2
12	16	2	2
12	15	2	2
12	14	2	2
12	13	2	2
13	53	2	5
13	37	2	4
13	17	2	2
13	16	2	2
13	15	2	2
13	14	2	2
14	16	2	2
14	15	2	2
15	44	2	4
15	17	2	2
15	16	2	2
16	17	2	2
17	65	2	5
18	28	3	3
18	27	3	3
18	26	3	3
18	25	3	3
18	24	3	3
18	23	3	3
18	22	3	3
18	21	3	3
18	20	3	3
18	19	3	3
19	28	3	3
19	27	3	3
19	26	3	3
19	25	3	3
19	24	3	3
19	23	3	3
19	22	3	3
19	21	3	3
19	20	3	3
20	28	3	3
20	27	3	3
20	25	3	3
20	23	3	3
20	22	3	3
21	75	3	5
21	28	3	3
21	26	3	3
21	25	3	3
21	24	3	3
21	23	3	3
21	22	3	3
22	28	3	3
22	27	3	3
22	26	3	3
22	25	3	3
22	24	3	3
22	23	3	3
23	76	3	5
23	28	3	3
23	27	3	3
23	26	3	3
23	25	3	3
23	24	3	3
24	65	3	5
24	40	3	4
24	28	3	3
24	26	3	3
24	25	3	3
25	28	3	3
25	26	3	3
26	46	3	4
26	28	3	3
26	27	3	3
27	28	3	3
28	51	3	5
29	48	4	4
29	47	4	4
29	46	4	4
29	44	4	4
29	43	4	4
