6,967,782,0,0
16,15,974,0,1
18,473,650,0,2
23,844,765,0,0
5,37,686,0,1
7,610,288,0,2
8,101,441,0,2
9,382,412,0,2
10,185,769,0,1
11,728,356,0,2
12,416,995,0,2
13,707,736,0,0
14,169,131,0,2
15,788,614,0,0
17,80,894,0,1
19,533,503,0,2
20,958,894,0,0
21,143,688,0,1
22,322,51,0,2
24,953,331,0,0
111,833,916,0,0
115,870,12,0,1
117,745,216,0,0
134,744,779,0,2
28,285,67,1,0
29,799,315,1,2
30,712,718,1,1
31,370,959,1,1
37,257,299,1,0
39,638,983,1,1
44,400,73,1,0
25,441,3,1,0
26,424,223,1,0
27,620,941,1,1
32,359,909,1,1
33,622,475,1,2
34,961,386,1,2
35,512,242,1,0
36,934,164,1,2
38,466,243,1,0
40,362,986,1,1
41,791,752,1,1
42,231,915,1,1
43,245,493,1,0
106,940,547,1,2
113,715,851,1,2
114,731,457,1,0
121,694,629,1,0
124,7,582,1,0
127,989,828,1,0
130,51,372,1,1
131,148,859,1,1
132,326,547,1,1
133,805,898,1,1
50,564,37,2,1
52,964,149,2,1
53,437,806,2,2
59,223,827,2,2
63,14,694,2,0
45,902,762,2,2
46,358,266,2,1
47,691,805,2,2
48,399,423,2,2
49,668,951,2,2
51,377,910,2,2
54,42,625,2,0
55,404,316,2,1
56,365,541,2,2
57,154,96,2,1
58,86,314,2,0
60,303,880,2,2
61,760,550,2,1
62,181,587,2,0
64,810,701,2,2
112,686,751,2,1
118,206,1,2,2
120,93,650,2,0
125,246,554,2,2
129,601,185,2,1
70,993,145,3,1
71,631,907,3,0
74,521,789,3,0
77,954,463,3,1
78,710,883,3,0
79,215,834,3,2
80,973,92,3,1
65,562,93,3,1
66,499,346,3,1
67,813,571,3,0
68,386,497,3,2
69,675,173,3,1
72,658,73,3,1
73,944,961,3,0
75,74,711,3,2
76,152,27,3,2
81,17,825,3,2
82,479,192,3,1
83,727,184,3,1
84,480,283,3,1
107,406,992,3,2
110,914,614,3,0
116,409,276,3,1
119,567,497,3,1
123,228,226,3,0
126,460,567,3,1
128,775,500,3,0
88,254,112,4,0
90,568,148,4,0
94,930,341,4,1
99,576,653,4,2
85,257,371,4,0
86,436,906,4,2
87,526,528,4,2
89,186,153,4,0
91,422,805,4,2
92,937,299,4,1
93,382,59,4,0
95,552,93,4,0
96,761,746,4,2
97,164,750,4,2
98,272,261,4,0
100,815,705,4,2
101,378,969,4,2
102,787,895,4,2
103,903,704,4,2
104,389,400,4,0
105,576,234,4,0
108,434,439,4,2
109,229,612,4,0
122,975,511,4,1
