122 122
7	6	1	1
7	5	1	1
8	7	1	1
8	6	1	1
9	6	1	1
9	7	1	1
10	6	1	1
10	7	1	1
11	5	1	1
11	10	1	1
12	5	1	1
12	8	1	1
13	12	1	1
13	11	1	1
14	7	1	1
14	8	1	1
5	9	1	1
5	13	1	1
6	11	1	1
6	14	1	1
18	17	2	2
18	16	2	2
19	17	2	2
19	16	2	2
20	19	2	2
20	16	2	2
21	17	2	2
21	18	2	2
22	16	2	2
22	17	2	2
23	21	2	2
23	19	2	2
24	17	2	2
24	16	2	2
15	21	2	2
15	17	2	2
16	23	2	2
16	15	2	2
17	20	2	2
17	23	2	2
34	32	3	3
34	33	3	3
25	32	3	3
25	33	3	3
26	32	3	3
26	34	3	3
27	25	3	3
27	32	3	3
28	33	3	3
28	34	3	3
29	28	3	3
29	32	3	3
30	25	3	3
30	28	3	3
31	34	3	3
31	32	3	3
32	28	3	3
32	30	3	3
33	31	3	3
33	30	3	3
37	36	4	4
37	35	4	4
38	35	4	4
38	37	4	4
39	36	4	4
39	35	4	4
40	39	4	4
40	38	4	4
41	39	4	4
41	37	4	4
42	35	4	4
42	38	4	4
43	36	4	4
43	40	4	4
44	36	4	4
44	41	4	4
35	44	4	4
35	40	4	4
36	41	4	4
36	42	4	4
50	48	5	5
50	49	5	5
51	48	5	5
51	49	5	5
52	50	5	5
52	49	5	5
53	48	5	5
53	49	5	5
54	53	5	5
54	48	5	5
45	49	5	5
45	48	5	5
46	50	5	5
46	54	5	5
47	52	5	5
47	53	5	5
48	52	5	5
48	46	5	5
49	54	5	5
49	46	5	5
38	32	4	3
14	17	1	2
34	11	3	1
32	15	3	2
36	8	4	1
47	20	5	2
46	29	5	3
100	13	1	1
101	13	1	1
102	12	1	1
103	7	1	1
104	7	1	1
105	22	2	2
106	23	2	2
107	23	2	2
108	24	2	2
109	23	2	2
110	26	3	3
111	26	3	3
112	27	3	3
113	41	4	4
114	43	4	4
115	51	5	5
